Equipment_ID,Plant_ID,Equipment_Type,Manufacturer,Rated_Capacity_kW,Installation_Date,Status
EQ-00001,1,Inverter,Siemens,125,2021-05-23,Active
EQ-00002,1,Inverter,ABB,50,2022-10-22,Active
EQ-00003,1,Inverter,GE,75,2021-12-03,Active
EQ-00004,1,Inverter,Siemens,75,2020-07-20,Active
EQ-00005,1,Inverter,GE,125,2022-10-13,Active
EQ-00006,1,Inverter,Schneider,150,2020-12-03,Active
EQ-00007,1,Inverter,Sungrow,50,2022-02-02,Active
EQ-00008,1,Inverter,Schneider,50,2023-03-26,Active
EQ-00009,1,Inverter,Huawei,50,2021-06-04,Active
EQ-00010,1,Inverter,Siemens,100,2021-08-15,Active
EQ-00011,1,Inverter,ABB,50,2021-01-13,Active
EQ-00012,1,Inverter,Hitachi,75,2020-02-10,Active
EQ-00013,1,Inverter,Huawei,125,2022-07-18,Active
EQ-00014,1,Inverter,Hitachi,150,2020-04-08,Active
EQ-00015,1,Inverter,GE,100,2022-08-18,Active
EQ-00016,1,Inverter,Hitachi,100,2022-10-25,Active
EQ-00017,1,Inverter,Hitachi,100,2021-01-27,Active
EQ-00018,1,Inverter,Sungrow,75,2022-06-10,Active
EQ-00019,1,Inverter,Hitachi,50,2021-07-17,Active
EQ-00020,1,Inverter,Siemens,150,2020-08-18,Active
EQ-00021,1,Inverter,ABB,150,2022-11-25,Active
EQ-00022,1,Inverter,Hitachi,100,2023-01-14,Active
EQ-00023,1,Inverter,Sungrow,150,2022-10-09,Active
EQ-00024,1,Inverter,Siemens,125,2020-07-08,Active
EQ-00025,1,Inverter,Huawei,100,2021-09-24,Active
EQ-00026,1,Transformer,Huawei,1500,2021-12-10,Active
EQ-00027,1,Transformer,Huawei,1000,2021-11-14,Active
EQ-00028,2,Inverter,ABB,50,2023-02-10,Active
EQ-00029,2,Inverter,Sungrow,125,2023-02-10,Active
EQ-00030,2,Inverter,Huawei,100,2020-04-22,Active
EQ-00031,2,Inverter,Siemens,150,2021-01-19,Active
EQ-00032,2,Inverter,Sungrow,150,2021-12-30,Maintenance
EQ-00033,2,Inverter,Hitachi,125,2020-07-21,Active
EQ-00034,2,Inverter,Huawei,150,2022-06-02,Maintenance
EQ-00035,2,Inverter,GE,100,2022-01-21,Active
EQ-00036,2,Inverter,Huawei,125,2020-07-05,Active
EQ-00037,2,Inverter,Schneider,100,2021-10-21,Active
EQ-00038,2,Inverter,Siemens,100,2020-05-26,Active
EQ-00039,2,Inverter,Hitachi,125,2021-05-03,Active
EQ-00040,2,Inverter,Hitachi,75,2022-05-21,Active
EQ-00041,2,Inverter,Siemens,50,2021-04-17,Active
EQ-00042,2,Inverter,Hitachi,75,2020-09-19,Active
EQ-00043,2,Inverter,Sungrow,50,2022-05-30,Active
EQ-00044,2,Inverter,GE,125,2021-03-28,Active
EQ-00045,2,Inverter,ABB,50,2023-01-27,Active
EQ-00046,2,Inverter,ABB,125,2020-05-31,Active
EQ-00047,2,Inverter,Huawei,125,2021-08-09,Active
EQ-00048,2,Inverter,Siemens,125,2020-09-10,Active
EQ-00049,2,Inverter,GE,50,2020-04-08,Active
EQ-00050,2,Inverter,Sungrow,75,2022-04-01,Active
EQ-00051,2,Inverter,Schneider,50,2020-06-09,Active
EQ-00052,2,Inverter,GE,150,2022-03-26,Active
EQ-00053,2,Transformer,Hitachi,1500,2021-02-04,Active
EQ-00054,2,Transformer,Siemens,1500,2021-04-14,Active
EQ-00055,3,Inverter,GE,150,2021-07-16,Active
EQ-00056,3,Inverter,ABB,100,2020-08-13,Active
EQ-00057,3,Inverter,Huawei,125,2022-05-28,Active
EQ-00058,3,Inverter,Schneider,125,2022-03-26,Active
EQ-00059,3,Inverter,ABB,50,2020-01-17,Maintenance
EQ-00060,3,Inverter,GE,150,2022-12-05,Active
EQ-00061,3,Inverter,ABB,125,2022-11-26,Active
EQ-00062,3,Inverter,Huawei,150,2021-08-29,Active
EQ-00063,3,Inverter,Huawei,125,2020-07-09,Active
EQ-00064,3,Inverter,Hitachi,50,2020-05-07,Active
EQ-00065,3,Inverter,Sungrow,75,2021-11-16,Active
EQ-00066,3,Inverter,Hitachi,75,2020-06-03,Active
EQ-00067,3,Inverter,Sungrow,50,2023-02-01,Active
EQ-00068,3,Inverter,ABB,150,2022-01-28,Active
EQ-00069,3,Inverter,Sungrow,50,2021-02-11,Active
EQ-00070,3,Inverter,Sungrow,50,2020-02-05,Active
EQ-00071,3,Inverter,Huawei,125,2021-04-15,Active
EQ-00072,3,Inverter,Sungrow,75,2021-12-27,Active
EQ-00073,3,Inverter,ABB,50,2021-07-28,Maintenance
EQ-00074,3,Inverter,GE,75,2021-07-23,Active
EQ-00075,3,Inverter,Siemens,75,2022-04-17,Active
EQ-00076,3,Inverter,ABB,125,2021-09-04,Active
EQ-00077,3,Inverter,Schneider,125,2022-09-30,Active
EQ-00078,3,Inverter,Hitachi,125,2022-02-12,Active
EQ-00079,3,Inverter,Siemens,100,2022-04-02,Active
EQ-00080,3,Transformer,Schneider,1000,2021-09-27,Active
EQ-00081,3,Transformer,ABB,500,2020-04-29,Active
EQ-00082,4,Inverter,Siemens,75,2022-01-10,Active
EQ-00083,4,Inverter,GE,50,2022-10-09,Active
EQ-00084,4,Inverter,Sungrow,50,2022-03-12,Active
EQ-00085,4,Inverter,GE,50,2021-05-02,Active
EQ-00086,4,Inverter,Huawei,150,2021-12-04,Active
EQ-00087,4,Inverter,GE,150,2020-09-03,Active
EQ-00088,4,Inverter,Sungrow,100,2022-09-23,Active
EQ-00089,4,Inverter,Schneider,125,2022-12-28,Active
EQ-00090,4,Inverter,GE,125,2021-03-28,Active
EQ-00091,4,Inverter,Sungrow,75,2021-03-07,Active
EQ-00092,4,Inverter,Siemens,50,2020-12-22,Active
EQ-00093,4,Inverter,Sungrow,150,2023-01-28,Active
EQ-00094,4,Inverter,Hitachi,75,2022-01-31,Active
EQ-00095,4,Inverter,Huawei,150,2021-05-30,Active
EQ-00096,4,Inverter,Hitachi,75,2021-05-11,Active
EQ-00097,4,Inverter,ABB,125,2021-11-20,Active
EQ-00098,4,Inverter,Huawei,50,2022-08-14,Active
EQ-00099,4,Inverter,Schneider,125,2023-04-06,Active
EQ-00100,4,Inverter,Siemens,150,2021-01-31,Active
EQ-00101,4,Inverter,GE,75,2021-05-13,Active
EQ-00102,4,Inverter,Hitachi,50,2020-03-30,Active
EQ-00103,4,Inverter,Sungrow,75,2022-10-18,Active
EQ-00104,4,Inverter,Huawei,125,2022-04-05,Active
EQ-00105,4,Inverter,Schneider,100,2021-02-16,Active
EQ-00106,4,Inverter,Huawei,150,2022-10-17,Active
EQ-00107,4,Transformer,Sungrow,500,2021-04-01,Active
EQ-00108,4,Transformer,ABB,500,2023-01-27,Active
EQ-00109,5,Inverter,Sungrow,50,2020-04-05,Active
EQ-00110,5,Inverter,GE,150,2020-10-05,Active
EQ-00111,5,Inverter,Huawei,50,2020-03-02,Active
EQ-00112,5,Inverter,Huawei,150,2021-11-29,Active
EQ-00113,5,Inverter,Siemens,125,2021-03-20,Active
EQ-00114,5,Inverter,Siemens,50,2021-03-30,Active
EQ-00115,5,Inverter,Hitachi,125,2022-04-30,Active
EQ-00116,5,Inverter,Schneider,150,2023-01-27,Active
EQ-00117,5,Inverter,Siemens,100,2023-03-20,Active
EQ-00118,5,Inverter,Hitachi,150,2022-12-01,Active
EQ-00119,5,Inverter,GE,75,2023-03-02,Active
EQ-00120,5,Inverter,Schneider,100,2021-10-19,Active
EQ-00121,5,Inverter,Huawei,75,2022-08-11,Active
EQ-00122,5,Inverter,Schneider,150,2023-04-06,Active
EQ-00123,5,Inverter,Sungrow,100,2021-09-25,Active
EQ-00124,5,Inverter,Schneider,150,2020-12-04,Active
EQ-00125,5,Inverter,Schneider,50,2021-05-14,Active
EQ-00126,5,Inverter,Hitachi,50,2023-03-01,Active
EQ-00127,5,Inverter,Siemens,100,2021-03-20,Active
EQ-00128,5,Inverter,Hitachi,100,2021-12-14,Active
EQ-00129,5,Inverter,Hitachi,100,2020-06-21,Active
EQ-00130,5,Inverter,Siemens,75,2021-04-20,Active
EQ-00131,5,Inverter,Hitachi,50,2022-10-21,Active
EQ-00132,5,Inverter,Siemens,50,2022-04-03,Active
EQ-00133,5,Inverter,Schneider,75,2021-11-15,Active
EQ-00134,5,Transformer,Schneider,1500,2023-03-18,Active
EQ-00135,5,Transformer,Schneider,1500,2022-02-02,Active
EQ-00136,6,Inverter,ABB,100,2020-02-16,Active
EQ-00137,6,Inverter,GE,50,2021-10-17,Active
EQ-00138,6,Inverter,ABB,125,2022-01-05,Active
EQ-00139,6,Inverter,GE,125,2021-10-29,Active
EQ-00140,6,Inverter,Sungrow,125,2021-11-06,Active
EQ-00141,6,Inverter,Sungrow,125,2021-06-23,Active
EQ-00142,6,Inverter,Huawei,125,2021-05-16,Active
EQ-00143,6,Inverter,Huawei,50,2021-04-05,Active
