Equipment_ID,Plant_ID,Equipment_Type,Average_Performance_Ratio,Average_Inverter_Efficiency,Average_Capacity_Factor,Fault_Count,Performance_Score,Risk_Level
EQ-00001,1,Inverter,0.825,0.95,0.115,3,58.18,Watchlist
EQ-00002,1,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00003,1,Inverter,0.825,0.95,0.116,1,59.2,Watchlist
EQ-00004,1,Inverter,0.825,0.95,0.116,10,54.69,Critical
EQ-00005,1,Inverter,0.825,0.95,0.116,5,57.18,Watchlist
EQ-00006,1,Inverter,0.825,0.95,0.116,4,57.71,Watchlist
EQ-00007,1,Inverter,0.825,0.95,0.116,6,56.71,Watchlist
EQ-00008,1,Inverter,0.825,0.95,0.116,6,56.71,Watchlist
EQ-00009,1,Inverter,0.825,0.95,0.116,4,57.69,Watchlist
EQ-00010,1,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00011,1,Inverter,0.825,0.95,0.116,7,56.18,Watchlist
EQ-00012,1,Inverter,0.825,0.95,0.117,3,58.21,Watchlist
EQ-00013,1,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00014,1,Inverter,0.825,0.95,0.116,3,58.19,Watchlist
EQ-00015,1,Inverter,0.825,0.95,0.116,3,58.2,Watchlist
EQ-00016,1,Inverter,0.826,0.95,0.116,3,58.22,Watchlist
EQ-00017,1,Inverter,0.825,0.95,0.116,9,55.2,Watchlist
EQ-00018,1,Inverter,0.825,0.95,0.116,8,55.69,Watchlist
EQ-00019,1,Inverter,0.825,0.95,0.116,3,58.2,Watchlist
EQ-00020,1,Inverter,0.825,0.95,0.116,1,59.2,Watchlist
EQ-00021,1,Inverter,0.825,0.95,0.116,6,56.68,Watchlist
EQ-00022,1,Inverter,0.825,0.95,0.116,7,56.2,Watchlist
EQ-00023,1,Inverter,0.825,0.95,0.116,4,57.69,Watchlist
EQ-00024,1,Inverter,0.825,0.95,0.117,8,55.69,Watchlist
