Fault_ID,Timestamp,Plant_ID,Equipment_ID,Fault_Type,Severity,Response_Time_Min,Resolution_Time,Downtime_Min,Energy_Loss_kWh,Cost_Loss_USD
1,2025-10-16 02:45:00,12,EQ-00298,Transformer Overheating,Low,48,2025-10-16 04:05:00,80,253.24,27.52
2,2025-12-11 11:00:00,11,EQ-00274,Under Voltage,Low,26,2025-12-11 18:39:00,459,102.94,17.99
3,2025-11-10 07:15:00,5,EQ-00135,Transformer Overheating,Low,43,2025-11-10 11:51:00,276,482.96,55.06
4,2025-09-28 23:30:00,11,EQ-00281,Over Voltage,High,41,2025-09-28 23:46:00,16,352.38,41.98
5,2025-01-27 03:45:00,5,EQ-00128,Grid Outage,Low,53,2025-01-27 11:43:00,478,189.96,24.52
6,2025-05-21 10:30:00,7,EQ-00177,Inverter Failure,Medium,22,2025-05-21 17:08:00,398,178.88,29.94
7,2025-11-07 01:15:00,18,EQ-00473,AC Fault,Low,34,2025-11-07 01:42:00,27,33.18,2.88
8,2025-08-11 00:00:00,7,EQ-00186,Communication Loss,Critical,54,2025-08-11 06:41:00,401,108.5,12.55
9,2025-03-01 18:00:00,20,EQ-00525,AC Fault,High,29,2025-03-01 18:36:00,36,33.58,3.25
10,2025-02-19 13:30:00,17,EQ-00440,Grid Outage,Low,46,2025-02-19 17:58:00,268,154.84,16.13
11,2025-06-17 20:00:00,14,EQ-00369,Under Voltage,Low,23,2025-06-17 22:34:00,154,252.07,35.2
12,2025-08-26 13:45:00,6,EQ-00142,AC Fault,Medium,25,2025-08-26 19:18:00,333,165.08,21.53
13,2025-02-11 15:45:00,16,EQ-00411,AC Fault,Low,10,2025-02-11 18:45:00,180,272.61,43.35
14,2025-11-29 21:30:00,2,EQ-00034,Low Irradiance,Medium,36,2025-11-29 22:58:00,88,247.31,42.59
15,2025-08-10 04:00:00,7,EQ-00175,Breaker Trip,Medium,53,2025-08-10 09:37:00,337,250.55,20.68
16,2025-11-22 13:15:00,4,EQ-00102,DC Fault,High,42,2025-11-22 18:47:00,332,479.77,46.97
17,2025-01-16 14:15:00,8,EQ-00198,Grid Outage,High,49,2025-01-16 19:44:00,329,492.2,66.64
18,2025-10-16 07:15:00,1,EQ-00015,AC Fault,High,40,2025-10-16 14:09:00,414,42.0,4.16
19,2025-03-14 10:45:00,14,EQ-00375,Breaker Trip,Low,28,2025-03-14 11:35:00,50,24.96,3.9
20,2025-02-18 21:00:00,2,EQ-00051,DC Fault,Medium,58,2025-02-19 03:34:00,394,432.09,49.75
21,2025-09-05 09:00:00,12,EQ-00299,Under Voltage,Low,10,2025-09-05 15:37:00,397,154.68,15.15
22,2025-06-30 03:45:00,2,EQ-00053,Under Voltage,Medium,21,2025-06-30 06:29:00,164,82.91,12.33
23,2025-06-20 07:30:00,12,EQ-00298,Grid Outage,Critical,21,2025-06-20 11:26:00,236,397.42,61.28
24,2025-02-20 06:15:00,5,EQ-00119,Grid Outage,Low,44,2025-02-20 07:24:00,69,188.77,27.28
25,2025-05-27 22:45:00,17,EQ-00444,AC Fault,Low,28,2025-05-28 06:00:00,435,253.06,24.41
26,2025-09-24 15:30:00,6,EQ-00142,AC Fault,Low,11,2025-09-24 16:14:00,44,174.75,23.24
27,2025-08-28 18:45:00,13,EQ-00335,Communication Loss,Medium,38,2025-08-28 21:57:00,192,239.39,34.98
28,2025-06-02 14:45:00,12,EQ-00306,AC Fault,Critical,35,2025-06-02 20:36:00,351,450.93,54.25
29,2025-10-09 13:30:00,7,EQ-00167,AC Fault,Low,43,2025-10-09 19:42:00,372,467.3,50.82
30,2025-09-22 08:30:00,20,EQ-00518,DC Fault,High,54,2025-09-22 15:29:00,419,240.03,24.84
31,2025-06-06 23:00:00,16,EQ-00432,Under Voltage,High,23,2025-06-07 03:20:00,260,282.59,45.89
32,2025-09-28 00:45:00,16,EQ-00418,Grid Outage,Low,9,2025-09-28 06:27:00,342,217.93,38.47
33,2025-10-19 06:00:00,11,EQ-00281,Transformer Overheating,Medium,55,2025-10-19 08:42:00,162,133.01,14.27
34,2025-03-08 11:45:00,17,EQ-00437,Communication Loss,Low,51,2025-03-08 19:17:00,452,42.79,7.58
35,2025-03-08 15:30:00,20,EQ-00535,Transformer Overheating,Low,56,2025-03-08 22:13:00,403,334.69,46.52
36,2025-11-14 01:00:00,18,EQ-00485,Over Voltage,Medium,47,2025-11-14 07:35:00,395,386.1,53.82
37,2025-03-19 19:15:00,8,EQ-00214,DC Fault,Medium,17,2025-03-20 00:27:00,312,462.68,48.14
38,2025-05-21 02:15:00,12,EQ-00315,Communication Loss,Critical,45,2025-05-21 09:02:00,407,350.71,50.29
39,2025-11-07 11:15:00,1,EQ-00001,DC Fault,High,5,2025-11-07 14:13:00,178,408.45,35.41
40,2025-07-09 17:30:00,16,EQ-00410,Communication Loss,Low,31,2025-07-09 21:00:00,210,261.73,31.92
41,2025-06-23 18:30:00,7,EQ-00167,DC Fault,Critical,6,2025-06-23 18:52:00,22,115.35,11.92
42,2025-12-01 04:15:00,20,EQ-00525,Under Voltage,Medium,45,2025-12-01 08:19:00,244,169.02,17.08
43,2025-09-23 19:45:00,5,EQ-00133,Communication Loss,High,28,2025-09-24 01:39:00,354,351.36,39.9
44,2025-03-12 20:15:00,9,EQ-00239,AC Fault,Low,28,2025-03-13 03:42:00,447,463.72,60.22
45,2025-07-02 16:30:00,20,EQ-00530,AC Fault,Low,52,2025-07-02 21:08:00,278,251.17,42.67
46,2025-06-16 08:00:00,20,EQ-00522,Inverter Failure,Low,51,2025-06-16 08:54:00,54,148.02,16.56
47,2025-11-09 11:00:00,16,EQ-00431,Grid Outage,Medium,51,2025-11-09 13:06:00,126,343.85,29.33
48,2025-08-07 21:45:00,15,EQ-00393,DC Fault,High,57,2025-08-08 02:59:00,314,286.32,38.92
49,2025-02-03 00:30:00,18,EQ-00477,Under Voltage,Low,19,2025-02-03 07:16:00,406,356.42,32.27
50,2025-06-05 07:30:00,12,EQ-00317,Inverter Failure,Low,30,2025-06-05 13:43:00,373,201.11,22.94
51,2025-10-31 05:45:00,8,EQ-00210,AC Fault,Low,42,2025-10-31 10:01:00,256,158.09,13.13
52,2025-01-21 00:00:00,12,EQ-00321,AC Fault,Critical,36,2025-01-21 01:48:00,108,166.72,24.59
53,2025-04-24 05:15:00,18,EQ-00482,Communication Loss,Critical,6,2025-04-24 06:27:00,72,403.01,57.59
54,2025-12-30 18:00:00,12,EQ-00310,Under Voltage,High,42,2025-12-30 22:40:00,280,346.66,51.54
55,2025-08-16 08:45:00,11,EQ-00288,Grid Outage,Medium,44,2025-08-16 11:12:00,147,427.67,49.22
56,2025-06-07 05:15:00,7,EQ-00167,DC Fault,Medium,9,2025-06-07 06:39:00,84,379.67,40.0
57,2025-07-09 15:45:00,11,EQ-00282,Communication Loss,Medium,19,2025-07-09 20:53:00,308,461.82,70.5
58,2025-04-03 19:30:00,5,EQ-00114,Inverter Failure,Critical,45,2025-04-03 20:36:00,66,378.75,52.88
59,2025-06-09 05:45:00,5,EQ-00109,Transformer Overheating,Low,57,2025-06-09 09:56:00,251,192.97,32.5
60,2025-07-02 21:15:00,17,EQ-00449,Grid Outage,Low,15,2025-07-03 04:25:00,430,246.41,29.25
61,2025-09-01 14:00:00,19,EQ-00492,Under Voltage,Medium,22,2025-09-01 15:31:00,91,355.81,44.22
62,2025-09-13 23:45:00,14,EQ-00372,Over Voltage,Low,33,2025-09-14 05:15:00,330,214.93,31.76
63,2025-06-01 22:00:00,18,EQ-00482,Communication Loss,Low,57,2025-06-02 05:09:00,429,494.43,67.77
64,2025-07-01 20:30:00,20,EQ-00534,Grid Outage,Medium,13,2025-07-01 23:08:00,158,447.02,61.48
65,2025-05-18 18:30:00,17,EQ-00456,Inverter Failure,High,6,2025-05-19 01:01:00,391,318.28,35.09
66,2025-04-28 09:30:00,8,EQ-00196,Transformer Overheating,Medium,32,2025-04-28 11:24:00,114,167.03,28.64
67,2025-10-25 22:15:00,2,EQ-00035,Grid Outage,High,7,2025-10-26 05:17:00,422,87.41,14.55
68,2025-05-02 12:30:00,14,EQ-00373,Transformer Overheating,Medium,15,2025-05-02 16:33:00,243,43.46,3.51
69,2025-11-30 00:00:00,6,EQ-00162,Inverter Failure,Medium,8,2025-11-30 00:25:00,25,471.97,78.09
70,2025-12-12 21:00:00,1,EQ-00010,AC Fault,Low,28,2025-12-13 03:45:00,405,241.08,32.11
71,2025-12-03 09:15:00,20,EQ-00523,Inverter Failure,Low,27,2025-12-03 10:47:00,92,156.16,16.09
72,2025-04-20 13:15:00,17,EQ-00433,Transformer Overheating,Low,54,2025-04-20 18:30:00,315,191.48,29.63
73,2025-03-23 03:00:00,2,EQ-00039,AC Fault,Medium,35,2025-03-23 04:35:00,95,418.5,51.59
