Timestamp,Region,Load_kW,Peak_Demand_kW,Energy_Consumed_kWh,Voltage,Current,Power_Factor,Load_Factor
2025-01-01 00:00:00,KPK,5444.79,0.0,5444.79,224.19,24.29,0.986,0.616
2025-01-01 00:15:00,KPK,5396.49,0.0,5396.49,228.05,23.66,0.926,0.61
2025-01-01 00:30:00,KPK,5682.74,0.0,5682.74,236.84,23.99,0.955,0.643
2025-01-01 00:45:00,KPK,5703.91,0.0,5703.91,224.03,25.46,0.916,0.645
2025-01-01 01:00:00,KPK,5691.52,0.0,5691.52,235.38,24.18,0.902,0.644
2025-01-01 01:15:00,KPK,5150.27,0.0,5150.27,226.19,22.77,0.951,0.583
2025-01-01 01:30:00,KPK,5043.8,0.0,5043.8,229.98,21.93,0.896,0.57
2025-01-01 01:45:00,KPK,5786.35,0.0,5786.35,223.81,25.85,0.969,0.654
2025-01-01 02:00:00,KPK,5870.22,0.0,5870.22,231.61,25.35,0.923,0.664
2025-01-01 02:15:00,KPK,5654.08,0.0,5654.08,226.35,24.98,0.984,0.64
2025-01-01 02:30:00,KPK,5664.2,0.0,5664.2,229.17,24.72,0.908,0.641
2025-01-01 02:45:00,KPK,5743.11,0.0,5743.11,232.54,24.7,0.934,0.65
2025-01-01 03:00:00,KPK,5282.03,0.0,5282.03,219.19,24.1,0.905,0.597
2025-01-01 03:15:00,KPK,5529.51,0.0,5529.51,234.88,23.54,0.977,0.625
2025-01-01 03:30:00,KPK,5385.35,0.0,5385.35,229.62,23.45,0.884,0.609
2025-01-01 03:45:00,KPK,5804.57,0.0,5804.57,236.14,24.58,0.968,0.657
2025-01-01 04:00:00,KPK,4836.48,0.0,4836.48,230.93,20.94,0.931,0.547
2025-01-01 04:15:00,KPK,5243.65,0.0,5243.65,221.11,23.72,0.94,0.593
2025-01-01 04:30:00,KPK,5327.26,0.0,5327.26,229.28,23.24,0.937,0.603
2025-01-01 04:45:00,KPK,5618.86,0.0,5618.86,231.23,24.3,0.905,0.636
2025-01-01 05:00:00,KPK,5503.25,0.0,5503.25,229.41,23.99,0.986,0.622
2025-01-01 05:15:00,KPK,5855.31,0.0,5855.31,229.74,25.49,0.915,0.662
2025-01-01 05:30:00,KPK,5544.73,0.0,5544.73,224.66,24.68,0.893,0.627
2025-01-01 05:45:00,KPK,5816.14,0.0,5816.14,229.86,25.3,0.937,0.658
2025-01-01 06:00:00,KPK,5244.56,0.0,5244.56,231.82,22.62,0.885,0.593
2025-01-01 06:15:00,KPK,5635.64,0.0,5635.64,225.46,25.0,0.89,0.637
2025-01-01 06:30:00,KPK,5824.71,0.0,5824.71,219.35,26.55,0.923,0.659
2025-01-01 06:45:00,KPK,5413.21,0.0,5413.21,226.2,23.93,0.982,0.612
2025-01-01 07:00:00,KPK,5552.89,0.0,5552.89,240.21,23.12,0.881,0.628
2025-01-01 07:15:00,KPK,5790.51,0.0,5790.51,228.2,25.37,0.908,0.655
2025-01-01 07:30:00,KPK,6205.33,0.0,6205.33,233.44,26.58,0.904,0.702
2025-01-01 07:45:00,KPK,5178.58,0.0,5178.58,231.17,22.4,0.886,0.586
2025-01-01 08:00:00,KPK,5904.09,0.0,5904.09,226.0,26.12,0.91,0.668
2025-01-01 08:15:00,KPK,6085.62,0.0,6085.62,231.5,26.29,0.892,0.688
2025-01-01 08:30:00,KPK,5386.02,0.0,5386.02,231.37,23.28,0.986,0.609
2025-01-01 08:45:00,KPK,5207.82,0.0,5207.82,229.8,22.66,0.918,0.589
2025-01-01 09:00:00,KPK,7974.79,0.0,7974.79,227.52,35.05,0.962,0.902
2025-01-01 09:15:00,KPK,7273.7,0.0,7273.7,231.22,31.46,0.897,0.823
2025-01-01 09:30:00,KPK,7580.15,0.0,7580.15,225.72,33.58,0.976,0.857
2025-01-01 09:45:00,KPK,7173.4,0.0,7173.4,228.84,31.35,0.941,0.811
2025-01-01 10:00:00,KPK,7710.34,0.0,7710.34,233.85,32.97,0.977,0.872
2025-01-01 10:15:00,KPK,7274.7,0.0,7274.7,226.9,32.06,0.977,0.823
2025-01-01 10:30:00,KPK,7143.29,0.0,7143.29,235.39,30.35,0.962,0.808
2025-01-01 10:45:00,KPK,7661.29,0.0,7661.29,235.94,32.47,0.956,0.867
2025-01-01 11:00:00,KPK,7737.32,0.0,7737.32,218.93,35.34,0.938,0.875
2025-01-01 11:15:00,KPK,7600.63,0.0,7600.63,231.18,32.88,0.972,0.86
2025-01-01 11:30:00,KPK,7763.5,0.0,7763.5,235.61,32.95,0.963,0.878
2025-01-01 11:45:00,KPK,7499.53,0.0,7499.53,236.11,31.76,0.935,0.848
2025-01-01 12:00:00,KPK,7445.07,0.0,7445.07,225.29,33.05,0.951,0.842
2025-01-01 12:15:00,KPK,7328.11,0.0,7328.11,233.36,31.4,0.895,0.829
2025-01-01 12:30:00,KPK,7413.16,0.0,7413.16,227.94,32.52,0.923,0.838
2025-01-01 12:45:00,KPK,7825.5,0.0,7825.5,228.72,34.21,0.936,0.885
2025-01-01 13:00:00,KPK,7370.04,0.0,7370.04,231.52,31.83,0.905,0.834
2025-01-01 13:15:00,KPK,7458.09,0.0,7458.09,230.55,32.35,0.934,0.844
2025-01-01 13:30:00,KPK,8013.19,0.0,8013.19,237.81,33.7,0.883,0.906
2025-01-01 13:45:00,KPK,7858.43,0.0,7858.43,222.9,35.26,0.896,0.889
2025-01-01 14:00:00,KPK,7851.63,0.0,7851.63,234.24,33.52,0.988,0.888
2025-01-01 14:15:00,KPK,7697.33,0.0,7697.33,227.53,33.83,0.937,0.871
2025-01-01 14:30:00,KPK,7260.0,0.0,7260.0,228.48,31.77,0.961,0.821
2025-01-01 14:45:00,KPK,7339.85,0.0,7339.85,223.44,32.85,0.887,0.83
2025-01-01 15:00:00,KPK,7716.65,0.0,7716.65,233.49,33.05,0.961,0.873
2025-01-01 15:15:00,KPK,7267.63,0.0,7267.63,227.3,31.97,0.95,0.822
2025-01-01 15:30:00,KPK,7133.04,0.0,7133.04,229.92,31.02,0.955,0.807
2025-01-01 15:45:00,KPK,7622.48,0.0,7622.48,223.12,34.16,0.988,0.862
2025-01-01 16:00:00,KPK,7684.87,0.0,7684.87,225.72,34.05,0.944,0.869
2025-01-01 16:15:00,KPK,8035.29,0.0,8035.29,233.67,34.39,0.982,0.909
2025-01-01 16:30:00,KPK,7407.92,0.0,7407.92,232.64,31.84,0.921,0.838
2025-01-01 16:45:00,KPK,7111.29,0.0,7111.29,215.97,32.93,0.928,0.804
2025-01-01 17:00:00,KPK,7578.26,0.0,7578.26,231.66,32.71,0.949,0.857
2025-01-01 17:15:00,KPK,7561.32,0.0,7561.32,230.73,32.77,0.881,0.855
2025-01-01 17:30:00,KPK,7449.08,0.0,7449.08,225.0,33.11,0.981,0.843
2025-01-01 17:45:00,KPK,7435.65,0.0,7435.65,229.91,32.34,0.911,0.841
2025-01-01 18:00:00,KPK,8554.93,8554.93,8554.93,225.23,37.98,0.967,0.968
2025-01-01 18:15:00,KPK,8821.19,8821.19,8821.19,231.23,38.15,0.927,0.998
2025-01-01 18:30:00,KPK,8697.09,8697.09,8697.09,233.57,37.24,0.897,0.984
2025-01-01 18:45:00,KPK,9157.07,9157.07,9157.07,240.17,38.13,0.918,1.036
2025-01-01 19:00:00,KPK,9162.49,9162.49,9162.49,226.36,40.48,0.89,1.036
2025-01-01 19:15:00,KPK,9077.24,9077.24,9077.24,225.54,40.25,0.94,1.027
2025-01-01 19:30:00,KPK,9189.09,9189.09,9189.09,228.12,40.28,0.967,1.039
2025-01-01 19:45:00,KPK,8809.81,8809.81,8809.81,241.78,36.44,0.988,0.996
2025-01-01 20:00:00,KPK,8974.95,8974.95,8974.95,226.48,39.63,0.901,1.015
2025-01-01 20:15:00,KPK,8460.24,8460.24,8460.24,224.63,37.66,0.984,0.957
2025-01-01 20:30:00,KPK,8594.21,8594.21,8594.21,229.18,37.5,0.955,0.972
2025-01-01 20:45:00,KPK,8953.48,8953.48,8953.48,230.18,38.9,0.905,1.013
2025-01-01 21:00:00,KPK,9144.77,9144.77,9144.77,218.58,41.84,0.967,1.034
2025-01-01 21:15:00,KPK,9493.27,9493.27,9493.27,234.7,40.45,0.905,1.074
2025-01-01 21:30:00,KPK,8770.16,8770.16,8770.16,235.75,37.2,0.896,0.992
2025-01-01 21:45:00,KPK,8503.86,8503.86,8503.86,233.25,36.46,0.891,0.962
2025-01-01 22:00:00,KPK,8804.2,8804.2,8804.2,235.6,37.37,0.962,0.996
2025-01-01 22:15:00,KPK,9124.5,9124.5,9124.5,226.55,40.28,0.892,1.032
2025-01-01 22:30:00,KPK,8862.86,8862.86,8862.86,229.89,38.55,0.967,1.002
2025-01-01 22:45:00,KPK,8201.21,8201.21,8201.21,229.82,35.69,0.976,0.928
2025-01-01 23:00:00,KPK,6041.49,0.0,6041.49,231.37,26.11,0.963,0.683
2025-01-01 23:15:00,KPK,5274.44,0.0,5274.44,232.3,22.71,0.908,0.597
2025-01-01 23:30:00,KPK,5592.47,0.0,5592.47,233.19,23.98,0.963,0.633
2025-01-01 23:45:00,KPK,6115.23,0.0,6115.23,240.09,25.47,0.89,0.692
2025-01-02 00:00:00,KPK,5181.77,0.0,5181.77,225.39,22.99,0.923,0.586
2025-01-02 00:15:00,KPK,5411.13,0.0,5411.13,236.04,22.92,0.93,0.612
